quote,author,category
"- What happens to people that love each other?- I suppose they have whatever they have, and they are more fortunate than others. Then one of them gets the emptiness forever.","Ernest Hemingway, Islands in the Stream","breakup, death-of-a-loved-one, love"
Some memories just stay. They just refuse to give up on staying. Maybe it is good that they stay. It helps us stay rooted. It helps us to know who we really are.,"Aditi Bose, My Dream Man","life-and-living, life-lessons, life-philosophy, romance-book-quotes, romance-novels"
Religion comes not where reign fundamentalism and authoritarianism.,Abhijit Naskar,"harmony-quotes, philosophy, philosophy-of-religious, religion, religious-quote, religious-tolerance, religious-violence, words-of-wisdom"
"Everyone has his own reality in which, if one is not too cautious, timid or frightened, one swims. This is the only reality there is.","Henry Miller, Stand Still Like the Hummingbird","inspirational, life"
"We are Not Our thought , return to being in You and enjoy the Love that shared by the God(infinity).",Sushil Singh,"being, god, infinity, life-quote, life-quotes, love-quotes, secret-of-thought, thought, universe"
Sweets to the sweet  farewell!,William Shakespeare,farewell
"People have always looked to the horizon and feared that which they did not understand. Initially, this horizon was the edge of the forest. Then, when forests became better explored and their dangers were realized as not actually being that serious, human attention turned toward the darkness of the sea. Then the sea became better explored, and the new horizon became the vastness of space. And now, with space getting ever better explored, a new horizon appears. . . in the form of the horrors humanity is about to unleash on itself.",Matt Kaplan,"creation-care, environmentalism, exploration, explore, fear, self-destruction, stewardship"
When I was younger  I could remember anything  whether it had happened or not.,Mark Twain,youth
I had a polynomial once. My doctor removed it.,"Michael  Grant, Gone","gone-series, humor, mathematics"
"I am passionate about the things that I believe in like equality, free will, justice and love.","Trish Kaye Lleone, Finding Anna: A Memoir: The True Story of Child Sexual Abuse","passion, survivor, women"
"When you face fear head on, it is no more!",Stephen Richards,"abundance-creation, author-stephen-richards, cosmic-ordering, focus, goal-setting, happiness, law-of-attraction, life-changing, manifestation, manifesting, millionaire-mindset, mind-body-spirit, mind-power, new-age, new-thought, opportunity, positive-thoughts, positivity, self-belief, self-growth, self-help, self-motivation, self-realization, spirituality, success, synchronicity, visualization, wealth-creation"
"When a truth is necessary, the reason for it can be found by analysis, that is, by resolving it into simpler ideas and truths until the primary ones are reached.",Gottfried Leibniz,"Ideas, Truth Is, Reason "
"At the inauguration of each sentence, the writer commences with an optimistic sense of curiosity. Similar to an inquisitive explorer, a writer begins each thoughtful decree with an appreciative sense of the unknown and ends with a reverent regard for the unanswerable. Repeating this instigating act of discovery by placing a combination of sentences down on paper creates a unique verdict. The writer’s compilation of pronouncements expresses their interpretation of life. Replicating this creative endeavor in the futile effort to say it all imitates the revolving mystery of life where physical reality and mysterious forces of nature operate upon humankind.","Kilroy J. Oldster, Dead Toad Scrolls","writers-on-writing, writers-quotes, writing, writing-life"
"Just a simple prayer today, for those who are sick or going through darkness of any kind. Dear God, we ask that you place your healing hands on the shoulders of our friends and loved ones, who are suffering and relieve them of these hardships, in Jesus name. Amen.",Ron Baratono,"friends, god, jesus, loved-ones, sickness"
Chance is always powerful. Let your hook be always cast. In the pool where you least expect it  will be a fish.,Ovid,"chance, fortune"
Without risk  faith is an impossibility.,Soren Kierkegaard,"faith, unity"
"Why don't you like the foods I like?"" he asks sometimes. ""Why don't you like the foods I make?"" I answer.","Lydia Davis, Almost No Memory","chef, cooking, cuisine, diet, food, foods, taste, vegan, vegetarian"
"Your every voter, as surely as your chief magistrate, exercises a public trust.",Grover Cleveland,"Trust, Chief, Every "
Peace is the first thing the angels sang.,John Keble,"Angels, First, Sang "
"I don't care what is written,"" Meyer Landsman says. ""I don't care what supposedly got promised to some sandal-wearing idiot whose claim to fame is that he was ready to cut his own son's throat for the sake of a hare-brained idea. I don't care about red heifers and patriarchs and locusts. A bunch of old bones in the sand. My homeland is in my hat. It's in my ex-wife's tote bag.","Michael Chabon, The Yiddish Policemen's Union","history, home, identity, jewish, nationality, religion, self-reliance"
"There is incredible potential for digital technology in and beyond the classroom, but it is vital to rethink how learning is organised if we are to reap the rewards.",Geoff Mulgan,"Technology, Potential "
"He covered my hand with his. ""No matter what happens, we're friends first. I hope you know how much having you in my life means to me.","Cindi Madsen, Getting Lucky Number Seven",contemporary-romance
What Happens To A Man Is Less Significant Than What Happens Within Him.,Louis L. Mann,"awekening, calling, soul, true"
Fearing the wind that causes the shaking branch directs you to where energy is needed for improving your life.,"Andrea Dye, 25 Years, One Lesson: Alpha Omega Zen","balance, self-awareness"
"No parent/home/child/teacher/school has an all-round 100 percent wholeness. We all have limitations and problems. But I must never think it is all or nothing. Perhaps I'd like to live in the country, but I don't. Well, maybe I can get the family to a park two times a week, and out to the country once every two weeks. Maybe I have to send my child to a not-so-good school. Well, maybe we can read one or two good books together aloud. If you can't give them everything, give them something.","Susan Schaeffer Macaulay, For the Children's Sake","charlotte-mason, children, life-and-living"
"I have loved your daughter from the first time I saw her. We were young. I had no clue what love was, but over the years she has never left my heart. I know with all that I am, I can make her happy.""The lord chuckled, ""I believe so too, son. Now all you have to do is convince my daughter.","Julia Mills, Her Love, Her Dragon: The Saga Begins","dragon-guards, dragon-shifters-romance, dragons-romance, king-arthur-s-knights, paranormal-romance"
"I’ve learnt that eyes don't change. No matter how old or beat up you get, your eyes stay the same.","Eloise Dyson, Divided","divided, eyes"
oh my soul...be prepared for him who knows how to ask questions,"William Paul Young, The Shack",god
"Space, like time, engenders forgetfulness; but it does so by setting us bodily free from our surroundings and giving us back our primitive, unattached state ... Time, we say, is Lethe; but change of air is a similar draught, and, if it works less thoroughly, does so more quickly.","Thomas Mann, The Magic Mountain","attachment, body, constraints, forgetfulness, freedom, lethe, liberation, mind, space, time, unattached"
Keep a man on a rope that's short enough to trip him without choking him.,Jenna Alatari,"jenna-alatari, men, relationships"
"It now lately sometimes seemed a black miracle to me that people could actually care deeply about a subject or pursuit, and could go on caring this way for years on end. Could dedicate their entire lives to it. It seemed admirable and at the same time pathetic. We are all dying to give our lives away to something, maybe.","David Foster Wallace, Infinite Jest","caring, dedication"
Never go on trips with anyone you do not love.,Ernest Hemingway,"Travel, You, Never "
We work for peace every time we exercise authority with wisdom and authentic love.,"Jean Vanier, Finding Peace","authentic-love, authority, peace, power"
"When you're a Republican Latino, you're traveling uphill on a lonely road. Still, it's the road I prefer. It has led me to opportunity far beyond my dreams. I've worked on eight Republican presidential races, as well as for some of the world's largest corporations, all because the doors of opportunity, not the doors of welfare, were open to me.",Lionel Sosa,"Opportunity, Road, World "
"Speaking of tongues, they are the main reason I'm a nervous wreck. Ryan is a senior and well, sadly, I'm not all that experienced with boys. I mean, I'm a freshman and have been to dances with boys my age and even have gone out with boys, but I've never really kissed them. Not like I hope to kiss Ryan anyway. Bobby Robinson did shove his tongue into my mouth one time, when we were kissing under the bleachers at a football game, but it didn't feel so good. I'm pretty sure he didn't have it exactly right. So I talked to my friends, Katie and Lisa, about how to properly make out. But, well, here is just a bit of their unhelpful advice.Just let him take the lead, do what ever he does.Um, couldn't that get me into a lot of trouble?Just sort of kiss his tongue, but try not to drool.Don't open your mouth too wide.And then, just open your mouth wide.See?Stupid, conflicting information.And this from girls who supposedly know how to do this!I feel like I'm an undercover CIA agent trying to wrestle vital information out of a ruthless double agent, and the fate of the free world depends upon it. All the while, the President is yelling at me in a panic, saying, Somebody! Anybody! Just get me the truth!","Jillian Dodd, That Boy",humorous
Defect-free software does not exist.,Wietse Venema,"Software, Exist, Does "
"Sometimes you can take those dramatic roles and maybe interject a little humor into them, and I think the reverse also works.",Dennis Farina,"Think, You, Sometimes "
"The love of money, not money, is root of all evil.","Dave Ramsey, The Total Money Makeover: A Proven Plan for Financial Fitness","evil, love, money, root"
"If I could store lightnings in jars, I'd sell them to sick fireflies to light their way. Only they have nothing to pay for it with but life.","Will Advise, Nothing is here...","ability, bugs, collection, collections, fireflies, firefly, health, insects, jar, jars, life, light, lightning, nothing, purchase, purchases, sickness, storage, way"
"There’s a drive in a lost soul—in one that is searching for acceptance, companionship, belonging, whatever you want to call it. The slightest coincidence ignites a spark that one hopes will lead to something meaningful.","Doug   Cooper, Outside In","acceptance, belonging, brotherhood, coincidence, companionship, drive, identity, lost, meaning, outside-in, soul"
"Maslow's five values are the values for which people live when they have nothing to live for. Nothing has seized them, nothing has caught them, nothing has driven them spiritually mad and made them worth talking to.","Joseph Campbell, Pathways to Bliss: Mythology and Personal Transformation","narratology, philosophy, psychology"
"Since your life evaporates quickly, it is wisdom to learn how to number your days. Not just to number your days but to make each passing day productive.","Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?","calling, conversion, convert, gift, great, greatness, humanity, life, life-and-death, life-philosophy, poverty, produce, product, productivity, purpose, time, time-conversion, value, waste, wealth, work, world"
"I knew he was unreliable, but he was fun to be with. He was a child’s ideal companion, full of surprises and happy animal energy. He enjoyed food and drink. He liked to try new things. He brought home coconuts, papayas, mangoes, and urged them on our reluctant conservative selves. On Sundays he liked to discover new places, take us on endless bus or trolley rides to some new park or beach he knew about. He always counseled daring, in whatever situation, the courage to test the unknown, an instruction that was thematically in opposition to my mother’s.","E.L. Doctorow, World's Fair","childhood, father"
"Desire never stops. Equilibrium is temporary. The self-revelation is never simple, and it cannot guarantee the hero a satisfying life from that day forward. since a great story is always a living thing, its ending is no more final and certain than any other part of the story.","John Truby, The Anatomy of Story: 22 Steps to Becoming a Master Storyteller","desire, stories, writing"
"Where would I find enough leatherTo cover the entire surface of the earth?But with leather soles beneath my feet,It’s as if the whole world has been covered.",Śāntideva,buddhism
She is not truly beautiful but something about her draws the eye.,"George R.R. Martin, A Storm of Swords","attractive, beauty, girl"
"Kind words produce happiness. How often have we ourselves been made happy by kind words, in a manner and to an extent which we are unable to explain!",Frederick William Faber,"Happy, Words, Kind "
"As humanity becomes monstrous, monsters become nicer.",Anonymous,monsters
"History is gossip that's been legitimized, and that's really the case when you get into some of the Roman historians. Wow! They'd be right at home on reality tv.",Esther M. Friesner,"history, humor, reality-tv, writing"
The more I write the more I learn about writing. It is easy to say what looks good or sound good on paper until you experience it for yourself.,Jeanette Michelle,"experience, looks-good, write, writing"
"Diligent as one must be in learning, one must be as diligent in forgetting; otherwise the process is one of pedantry, not culture.",Albert J. Nock,"Culture, Process, Forgetting "
"I haven’t been able to pray with the same unquestioned simplicity of hope since Dustin passed. My childhood ended the day my brother died. The naive hope that a miracle would save him, that he would one day walk, that a disease was a blessing in my family – that hope died with him.","Darcy Leech, From My Mother","bereavement, death, death-and-dying, faith, family, muscular-dystrophy, myotonic-dystrophy, myotonic-muscular-dystrophy, prayer, siblings"
I can see the headline now: Archangel Busts Were Whisperer.,"Stacy Mantle, Shepherd's Moon","archangel, fantasy, nephilim, shapeshifters, urban-fantasy, werewolves"
"I prefer to be a dreamer among the humblest, with visions to be realized, than lord among those without dreams and desires.",Khalil Gibran,"Dreamer, Without, Desires "
LinkedIn was an amazing deal for us to do because of their mission.,Satya Nadella,"Mission, Us, Because "
"If you give a man a fish, he'll eat for a day, but if you teach him to fish, he'll eat all the fish you might have caught for yourself.--Advice of Paul Slater, the evil mediator, to Suze","Meg Cabot, Darkest Hour","ghosts, ya-murder-mystery, ya-paranormal, young-adult-murder-mystery, young-adult-paranormal"
"What a great thing, to be loved! What a greater thing still, to love! The heart becomes heroic though passion…if no one loved, the sun would go out.","Victor Hugo, Les Misérables","heroic, love, sun"
"And I, Nephi, took one of the daughters of Ishmael to wife.' Well Mr. Go-And-Do just went and did!",John Bytheway,"dating, humor, love, religion"
"Without people coming in to our lives we never evolve, we just remain stagnant. Surely there is more to life than standing still whilst letting it pass you by. What’s even worse, is living a life pretending to be someone, or something that you believe others want you to be.","Skye High, From Darkness To Diva","lgbt, lgbt-authors, lgbt-literature, lgbtq, lgbtq-community"
"By deciding that they would study only that which could be verified under controlled conditions, they had merely limited their field of endeavor. Most truth lay outside the neat confines of science....","Orson Scott Card, Alvin Journeyman","science, truth"
Our raw imperfections make us real and make us human but they don't make us.,"Jay McLean, Kick, Push","human, imperfections"
All writers--all beings--are exiles as a matter of course. The certainty about living is that it is a succession of expulsions of whatever carries the life force...All writers are exiles wherever they live and their work is a lifelong journey towards the lost land..,"Janet Frame, Janet Frame: An Autobiography","exile, writing"
"Art was my little private pleasure. Nobody had seen my art, not even my parents. Andy didn't know about it. My dream was to become a publisher, not an artist lost in New York.","Stephanie Witter, By My Side","contemporary-romance, young-adult"
"How often it is that we set ourselves in the high seat, judging others, not having read their book but merely having glimpsed the cover.","Richelle E. Goodrich, Smile Anyway","critical, criticism, gossip, judge, judging, judgmental, opinions, richelle, richelle-goodrich"
Seeking answers to the questions is what draws us forward. When you have no more questions you can finally live in the satisfaction of the present moment. You have no more questions when you finally learn that love is always the answer.,Kate McGahan,"answer, love, moment, question"
"Christmas is the gentlest, loveliest festival of the revolving year - and yet, for all that, when it speaks, its voice has strong authority. ",W.J. Cameron,christmas
"I think prime numbers are like life. They are very logical but you could never work out the rules, even if you spent all your time thinking about them","Mark Haddon, The Curious Incident of the Dog in the Night-Time","life, prime-numbers"
There's nothing like a headless corpse to bring a touch of excitement into one's life.,"Chet Williamson, Murder in Cormyr","humourous, morbid, sarcasm"
there's something wrong with any art that makes a woman all bust,"Djuna Barnes, Nightwood","aesthetics, art, bust, woman"
"I think 'Pretty Little Liars' is going to be hugely popular for adults, for kids, for girls, for guys, you know, something for everyone to look at, and the stories are going to be great. There's suspense every week. The friendship is really fun to watch. I think it's going to have something for everybody.",Laura Leighton,"Great, Fun, Week "
"Invisible lines, unbreakable rulesCould all bend at the mercy of love","Michele L. Rivera, Never the Same","bisexuality, breaking-rules, chances, change, equality, lesbian, love"
Do we ever get slow rain?,Anthony T. Hincks,"fast, get, philosophy, question, rain, slow, storm, storm-clouds, weather"
"Education technology and school construction go together. Modernization, updating education facilities, and making a capital investment in education are all included.",Major Owens,"Education, School, Together "
"She stood in the snow, effervescent, all pale skin and blonde hair, clad in white and bathed in moonlight. She should have looked angelic, instead she looked like a corpse, freshly raised from the grave, frosted in ice and darkness, swaying precariously in a graveyard.","Hazel Butler, Chasing Azrael","contemporary-fantasy, ghost-stories, ghosts, gothic, gothic-fantasy, gothic-fiction, gothic-horror, gothic-literature, paranormal-fiction, paranormal-mystery, paranormal-thriller, supernatural-mystery, supernatural-thrillers, urban-fantasy, urban-fantasy-series"
"Prayer, divine act.Pray always.","Lailah Gifty Akita, Think Great: Be Great!","answered-prayer, answers-to-prayers, christian-life, christian-living, faith-quotes, prayer-quotes, prayerful-habits, prayers-answered, praying-life, praying-mum, relig"
Bigotry and sexism destroy the unity needed for a nation to live.,DaShanne Stokes,"bias, biased, biases, bigot, bigotry, bigots, civil-rights, civil-rights-quotes, country, discrimination, discrimination-quotes, gay, gay-rights, homophobia, human-rights, human-rights-quotes, lesbian, lesbians, lgbt, lgbt-quotes, lgbt-rights, lgbtq, nation, prejudice, prejudiced, prejudices, racism, racism-and-culture, racism-in-america, racism-quote, racism-quotes, sexism, sexism-quotes, sexist, sexists, survival, togetherness, unity, unity-of-all-people, unity-quotes"
"The writing that so thrills and exhilarates you, as if you were dancing right next to the band, is barely audible to anyone else.",Annie Dillard,writing-life
"It took me years to stop feeling the guilt she made sure I kept feeling about what happened with him. He is a sick person that molests children, but I felt so bad about it for so long. I couldn't talk to a single person about any of this. No one. And she made me feel so bad about it all that I felt I shouldn't talk about it, even if there was someone. I felt ashamed and thought I was an awful person. Sometimes I still do. My mother abandoned me in the worst ways possible.","Ashly Lorenzana, Speed Needles","abandonment, abuse, betrayal, family, mothers, pain, sadness"
"Don’t you want to know the kind of woman I am?”When he said nothing, she continued. “I’m like your father. When I start something I finish it.”Cull seemed to consider that before he turned toward her, his lips quirking into a grin as his eyes blazed with challenge. “Is that right?”Before she could react, he grabbed her and dragged her to him. His mouth dropped to hers in a demanding kiss as he pushed her back against the barn wall.","B.J. Daniels, Dark Horse",romantic-suspense
"Happiness is purely a chosen state of being available to all, at all times.I choose to be happy, because I am.",Raphael Zernoff,"awakening, consciousness, global-awakening, raphael-zernoff, self-awareness, wisdom"
"It is my wish and most cherished hope that God would be pleased with my legacy, that lives would be changed by it, and that the world would be immeasurably better because I was privileged to leave a legacy at all. And if perchance I am fortunate enough to have these things come to pass, I can then rest in the fact that I have lived well.",Craig D. Lounsbrough,"god, impact, influence, legacies, legacy, lives, memorial, memorial-day, memories, transformation, world"
"And now here I was in McDonald's again for the first time since my earlier fracas. I vowed to behave myself, but McDonald's is just too much for me. I ordered a chicken sandwich and a Diet Coke.'Do you want fries with that?' the young man serving me asked.I hesitated for a moment, and in a pained but patient tone said: 'No. That's why I didn't ask for fries, you see.''We're just told to ask like,' he said.'When I want fries, generally I say something like, ""I would like some fries, too, please."" That's the system I use.''We're just told to ask like,' he repeated.'Do you need to know the other things I don't want? It is quite a long list. In fact, it is everything you serve except for the two things I asked for.''We're just told to ask like,' he repeated yet again, but in a darker voice, and deposited my two items on a tray and urged me, without the least hint of sincerity, to have a nice day.I realized that I probably wasn't quite ready for McDonald's yet.","Bill Bryson, The Road to Little Dribbling: Adventures of an American in Britain","humorous-quotes, mcdonald-s"
"It never leaves, not with someone we love. Their presence burns too vivid in our memories. Happen that is as it should be, for otherwise we would too easy forget.","Helen Hollick, The Kingmaking","love, memories"
Any situation is new adventure.,Lailah Gifty Akita,"adventure, adversity, situation"
There are essentially two things that will make you wise -- the books you read and the people you meet.,Jack Canfield,"book-sellers, books"
"Let me not to the marriage of true minds Admit impediments. Love is not love Which alters when it alteration finds, Or bends with the remover to remove. O no, it is an ever-fixed mark That looks on tempests and is never shaken; It is the star to every wand'ring barque, Whose worth's unknown, although his height be taken. Love's not Time's fool, though rosy lips and cheeks Within his bending sickle's compass come; Love alters not with his brief hours and weeks, But bears it out even to the edge of doom. If this be error and upon me proved, I never writ, nor no man ever loved.","William Shakespeare, Great Sonnets","love, poetry, shakespeare"
"Be an instrument of redemption, there are still unreached people",Sunday Adelaja,"instrument, people, redemption"
"Don't eat bear balls. Eat healthy, delectable, plant-based foods so that you will never fall over on your cat.","Rip Esselstyn, The Engine 2 Diet: The Texas Firefighter's 28-Day Save-Your-Life Plan that Lowers Cholesterol and Burns Away the Pounds","cats, food, vegan"
"[O]nly the sea is like a human being . . .always moving, always something deep in itself is stirring it. It never rests; it is always wanting, wanting, wanting. It hurries on; and then it creeps back slowly without having reached, moaning. It is always asking a question and it never gets the answer.","Olive Schreiner, The Story of an African Farm",sea
"Very slowly, using only two fingers, Annabeth drew her dagger. Instead of dropping it, she tossed it as far as she could into the water.Octavian made a squeaking sound. “What was that for? I didn’t say toss it! That could’ve been evidence. Or spoils of war!”Annabeth tried for a dumb-blonde smile, like: Oh, silly me. Nobody who knew her would have been fooled. But Octavian seemed to buy it. He huffed in exasperation.“You other two…” He pointed his blade at Hazel and Piper. “Put your weapons on the dock. No funny bus—”All around the Romans, Charleston Harbor erupted like a Las Vegas fountain putting on a show. When the wall of seawater subsided, the three Romans were in the bay, spluttering and frantically trying to stay afloat in their armor. Percy stood on the dock, holding Annabeth’s dagger.“You dropped this,” he said, totally poker-faced.Annabeth threw her arms around him. “I love you!”“Guys,” Hazel interrupted. She had a little smile on her face. “We need to hurry.","Rick Riordan, The Mark of Athena","annabeth-chase, percabeth, percy-jackson, the-mark-of-athena"
She's been a barrel of bitchy monkeys since Jordan and I walked out of the Arrivals gate together earlier this afternoon.,"Victoria Denault, One More Shot","contemporary-romance, new-adult, sports"
"This is what progress does, you know. Each step into the future makes us ever so much grander and more demanding and thus ever so slightly less human.","Kim   Wright, City of Light","humanity, progress"
And the truth from so much lies.... wasn't ever told...,"Deyth Banger, ((...)...)...","ever, forever, told, truth"
"It's not wrong to feel sorry for yourself. Just like it's not wrong to stand in a puddle of water while the rain pours down on your head. But neither is productive, unless you enjoy feeling cold and miserable and soggy while mascara runs down your face.","Richelle E. Goodrich, Slaying Dragons","depression, feeling-sorry, feeling-sorry-for-yourself, moping, pouting, regret, richelle, richelle-e-goodrich, richelle-goodrich, sadness, sulking"
Thank God forgiven me of my many sins.,Lailah Gifty Akita,"forgiveness, god, lailah-gifty-akita-affirmations, rebirth, sin"
"But there is no such being as an ordinary man or woman if by ordinary you mean what so many people mean: negligible. Each human being is so tremendous that he or she merits a reverence that is really religious. For each is a creation of God; each a mirror of Divinity; each a feature or a facet on the Face of Christ; each an object of constant care and concern to the Trinity. There is nothing ordinary in the sense that so many of us use that word, about any human being.",M. Raymond,"catholic, catholicism, inspirational-religious, spiritual-development"
"I'm not an atheist,because I believe that I'm god.",Anthony T. Hincks,"athiest, believe, god, philosophy"
"The reason for the unreason with which you treat my reason , so weakens my reason that with reason I complain of your beauty.",Miguel de Cervantes Saavedra,"classic, funny, humor"
"When you understand the internal process of life, first time, you realize that the personal identity that you carry in your mind, exists only at the time of momentary experience, and as the experience is forgotten, so the personal identity gets forgotten with it.",Roshan Sharma,"events, experience, momentary, people, situation"
"Home is where I am the least organized, I let go and become the truest version of myself; not because I don't care how I am perceived, rather, I know exactly how I am perceived and that gives me the courage to be carefree",Evy Michaels,"courage, freedom, home, love, perception"
"The destroyer of weeds, thistles, and thorns is a benefactor whether he soweth grain or not.","Robert G. Ingersoll, Some Mistakes of Moses","analogy, benefactor, destroyer, good, replacement, superstition, weeds"
"When we want to awaken a thought in anyone, what are the means at our disposal? One only, to produce in him by word and sign states of sensibility and of imagination, emotion and memory in which he will discover our idea and make it his own.","Antonin Sertillanges, The Intellectual Life: Its Spirit, Conditions, Methods","communication, epistemics, learning, teaching"
What if the church should be less concerned with creating saints than creating a world where we do not need saints? A world where people like Mother Teresa and MLK would have nothing to do.,"Peter Rollins, Insurrection: To Believe Is Human To Doubt, Divine","church, saints"
"Change is always a scary thing. We try to imagine various scenarios to prepare ourselves, like Jacob did with his hypotheticals. But when you find yourself in circumstances that you never thought possible, even if frequently imagined, when the consequences of those impossible, fantasy-tinted circumstances become real, it can be paralyzing.","L.E. Flinders, The Wolves Within Our Walls","change, fear"
"The thing I've never understood about dancing till now is that it only looks stupid when you're on the outside, watching other people do it. When you're part of the crowd, moving along with everyone else, I can't imagine anything else being quite as much fun.","Tom   Ryan, Tag Along","appearance, conformity, dancing, fun, inspirational, stupid"
"We both grew so used to each other, so comfortable with the naturalness and ease of our friendship, that we became sloppy about keeping our relationship a secret. It was not that we were physically demonstrative or obviously in love, more that it had become impossible for us to hide our close involvement. We had gradually acquired the unmistakable air of old-love: finishing each other's sentences and speaking to each other with an offhand, presuming intimacy that was eventually noticed.","Kate Kerrigan, The Miracle of Grace","comfortable, friendship, love, relationship"
"Putting aside your blatant patriarchal biases in assuming the necessary presence of a male familial figurehead, yes, I had a nice brunch, thanks.",Julie James,"feminism, feminist, julie-james, practice-makes-perfect, queen"
"I don't know it is that I always feel that other people can create things but that I can't. I imagine it's simpler living in remote tribes or communities where one is obliged to have a go or else you have to do without. I suppose it is fear of failure in an age where political correctness is trying to erase the word 'failure' from the language. It's OK to fail isn't it, but only if you've tried? What is so bizarre is that when one does try, one rarely falls short. Obviously some people do things better than others but if it gives you pleasure, then so what? As my grandmother used to say, 'patience and perseverance made a bishop of his reverence!' So don't say you can't make candles or soap or that you can't spin or weave until you've tried it. As for mending, well, if you're not throwing everything away, then you have no option but to make do and mend. After all, the only way to get rid of shopping malls and supermarkets with their food miles is for people not to shop in those places and the way to cure this mercenary mercantile world is to make your own things.","Clarissa Dickson Wright, Greener Life","brutal, green, humor, living, truth"
"Audiences = expectations. If he thinks you're not watching, he won't need to rebel against your expectations.","Gretchen Rubin, Better Than Before: Mastering the Habits of Our Everyday Lives",expectations
"All human wisdom is contained in these two words: 'wait' and 'hope'"".","Alexandre Dumas, The Count of Monte Cristo","inspirational, life-lesson, truth"
Now is the time to show maximum responsibility. It is not the time to pay off old scores nor for sterile partisan recriminations. It is time to re-establish a climate of calmness and mutual respect.,Giorgio Napolitano,"Time, Responsibility, Now "
Best friend  my well-spring in the wilderness!,George Eliot,friend
"A broke man’s lover doesn’t feel ‘loved’ on her Birthday, Christmas, and, on Valentine’s Day.",Mokokoma Mokhonoana,"birthday, christmas, consumerism, dating, finances, gifts, marriage, materialism, money, presents, relationships, valentine-s-day"
"All dancers are creator,and all dancers are creats own world,to produce with music or rythm"".",Avani pagar,"dance, music-rythm-asthetic-meaning, world-creation"
"When you ran out the tunnel at the old Easter Road for a derby game, you'd get a spittal right on the back of your head. They were spitting on you as you ran out, which actually helped get you going. It was some place.",Drew Busby,"Road, Game, You "
"Most of the time romance isn't even about love, anyway. It's about escape. Fantasy. Salvation from the mundane. Save me from boredom, from exhaustion, from my undersexed body, from microwave dinners and reality TV, from going to bed alone with a vibrator or a cat. Save me from my desperately ordinary life.","Leah Raeder, Black Iris","fantasy, funny, love, romance, truth"
Writing opens the door to imagination.,Joe Evener,"imagination, writing"
"When God is our Holy Father, sovereignty, holiness, omniscience, and immutability do not terrify us; they leave us full of awe and gratitude. Sovereignty is only tyrannical if it is unbounded by goodness; holiness is only terrifying if it is untempered by grace; omniscience is only taunting if it is unaccompanied by mercy; and immutability is only torturous if there is no guarantee of goodwill.",Ravi Zacharias,"awe, goodwill, grace, gratitude, holiness, holy-father, immutability, mercy, omniscience, sovereignty"
"It all fell away then – the control, the independence . . . everything. She had known it would never be easy to findsolitude . . . to find herself. Not in this city, where appearances were everything; where emptiness filled luxurious landscapes till there was nothing but hollow splendor…She hated the pretense.More than hatred, she was frightened of it.","Umair Naeem, Drowning Shadows","cities, control, karachi"
Don't expect to drop into matrimonial harmony with the end of the honeymoon, you have not thoroughly learned to know each other's foibles by that time.,"Blanche Ebbutt, Don'ts for Wives"
"It's especially hard to admit that you made a mistake to your parents, because, of course, you know so much more than they do.","Sean Covey, The 7 Habits of Highly Effective Teens: The Ultimate Teenage Success Guide","admitting-faults, children, funny, parents"
"It took me a long time to be convinced that marriage was right for me because I've come from a long line of broken marriages. My parents divorced, and I had two broken marriages myself.",Sylvester Stallone,"Time, Myself, Parents "
"I didn’t argue. Anybody who that drove a Hummer and carried a Glock, let alone had the audacity to wear white after Labor Day, wasn’t to be trifled with.","Cheryl Sterling, Tall, Dark and Slayer","paranormal-romance, vampire-paranormal-romance"
"I don't like the way young people write and talk about the old. I don't like their attitude, which, if they weren't young and therefore bright and vibrant, would be called outdated.",Ruth Rendell,"People, Young, Bright "
"America — rather, the United States — seems to me to be the Jew among the nations. It is resourceful, adaptable, maligned, envied, feared, imposed upon. It is warmhearted, overfriendly; quick-witted, lavish, colorful; given to extravagant speech and gestures. Its people are travelers and wanderers by nature, moving, shifting, restless; swarming in Fords, in ocean liners; craving entertainment; volatile. The schnuckle among the nations of the world.","Edna Ferber, A Peculiar Treasure: Autobiography","america, american-culture, jews"
A virtue to be serviceable must  like gold  be alloyed with some commoner but more durable metal.,Samuel Butler,virtue
"If you truly want to find a meaningful relationship, you've got to find yourself first and learn to be confident in your own skin. Don't sacrifice anything about who you are to be with someone. That's setting yourself up for failure.",Whitney Wolfe,"Relationship, Sacrifice "
"In poverty a man is alone. But with prosperity, He has many friends.",Lailah Gifty Akita,"friendship, inspirational, poverty, wealth"
"I'd been making music that was intended to be like painting, in the sense that it's environmental, without the customary narrative and episodic quality that music normally has. I called this 'ambient music.' But at the same time I was trying to make visual art become more like music, in that it changed the way that music changes.",Brian Eno,"Music, Time, Art "
"Behind all their personal vanity, women themselves always have an impersonal contempt for woman.",Friedrich Nietzsche,"Woman, Vanity, Personal "
Art will never be able to exist without nature.,Pierre Bonnard,"Art, Never, Will "
It is as if the stuff of which we are made were totally transparent and therefore imperceptible and as if the only appearances of which we can be aware are cracks and planes of fracture in that transparent matrix. Dreams and percepts and stories are perhaps cracks and irregularities in the uniform and timeless matrix. Was this what Plotinus meant by an 'invisible and unchanging beauty which pervades all things'?,"Gregory Bateson, Mind and Nature","beauty, continuity-of-being, unity"
