quote,author,category
"Being stress and anxiety free is a human preset, I just show you how to 'flick the switch' to off. Permanent stress and anxiety recovery is possible quickly and simply despite what many are told.","Charles Linden, The Linden Method: The Anxiety and Panic Attacks Elimination Solution","agoraphobia, anxiety, charles-linden, depersonalization, derealization, ocd, panic-attacks, ptsd, pure-o, the-linden-method"
"Walking to the train station I Wikipedia Abu Bakr al-Baghdadi, the man Hizb-ut-Tahrir refuse to accept as Islamic State's leader.I discover he is only one year older than me. I'm hit with that melancholy you get when you realise someone around your age has achieved so much more than you and you mightn't ever catch up.","John Safran, Depends What You Mean By Extremist","race, religion"
"Unless you are rich and can convalesce in a sanatorium estate (where visitors came down a tiered, oceanside lawn to find you at your easel) you have to keep going when you're depressed. That means phone calls, appointments, errands, holidays, family, friends, and colleagues.",Virginia Heffernan,"depression, unholy-ghosts"
the great advantage of really contemporary fiction is that one finds oneself mirrored on every page,"Peter Ackroyd, The Last Testament of Oscar Wilde",humour
"I will not say, as the beggars at our door used to do, ‘I’ll never ask anything of Him again;’ but, on the contrary, ‘He shall hear oftener from me than ever,’ and I will love God the better, and love prayer the better, as long as I live.",Philip  Henry,"perseverance, prayer"
"Shame lurks in the pockets of the mind (or spirit), like lint. No matter how brave a face you put on things – and believe me, I did – you always have to face yourself in the end.","Beverly Rycroft, A Slim Green Silence","facing-yourself, shame"
"Men in authority will always think that criticism of their policies is dangerous. They will always equate their policies with patriotism, and find criticism subversive.",Henry Steele Commager,"Men, Criticism, Think "
"Once I was gone for a month and I was just miserable, so I flew back from Florida for two hours just to be home and see my cats.",Paula Poundstone,"Cats, See, Back "
"Welcome to the ‘Age of Influence,’ where anyone can build an audience and effect change, advocate brands, build relationships and make a difference.",Ted Rubin,influence
Maybe that's what writers do-Maybe they exaggerate pain just so that you feel okay about what you're feeling.,Sanhita Baruah,"alone, broken, drama, emotions, exaggerate, exaggeration, fall, fallen, feel, feelings, grief, grieve, injured-heart, life, lonely, lost, love, pain, painful, poems, poetry, sad, sadness, sorrow-quotes, sorry, stories, story, write, writers"
Getting through high school and college was one of my greatest achievements.,Ann Bancroft,"School, College, Greatest "
"That was the only time, as I stood there, looking at that strange rubbish, feeling the wind coming across those empty fields, that I started to imagine just a little fantasy thing, because this was Norfolk after all, and it was only a couple of weeks since I’d lost him. I was thinking about the rubbish, the flapping plastic in the branches, the shore-line of odd stuff caught along the fencing, and I half-closed my eyes and imagined this was the spot where everything I'd ever lost since my childhood had washed up, and I was now standing here in front of it, and if I waited long enough, a tiny figure would appear on the horizon across the field, and gradually get larger until I'd see it was Tommy, and he'd wave, maybe even call. The fantasy never got beyond that --I didn't let it-- and though the tears rolled down my face, I wasn't sobbing or out of control. I just waited a bit, then turned back to the car, to drive off to wherever it was I was supposed to be.","Kazuo Ishiguro, Never Let Me Go","loss, love, moving-on"
"It was because he wanted to kiss her so much that he stopped himself, bent over her hand, clicking his heels together, then let her go. ""Adios, Isabella. Good luck. Please be careful. Stay safe.""	""Goodbye, Finlay. May God protect you and keep you from harm.","Marguerite Kaye, The Soldier's Rebel Lover",historical-romance
"That the loss of a man, even if he had been the love of her life, was not the end of a woman's existence.","Sherry Thomas, A Study in Scarlet Women","detective, love, perseverance, woman"
She had just enough madness to make her interesting,"Atticus Poetry, Love Her Wild: Poems","atticus, atticus-poetry, atticuspoetry, her, instagram, love, love-her-wild, poems, poetry, quotes, wild"
When I hear the word 'culture' I reach for my gun.,Hans Johst,"culture, culture-critique"
"One spiritual writer has observed that human beings are born with two diseases: life, from which we die; and hope, which says the first disease is not terminal. Hope is built into the structure of our personalities, into the depths of our unconscious; it plagues us to the very moment of our death. The critical question is whether hope is self-deception, the ultimate cruelty of a cruel and tricky universe, or whether it is just possibly the imprint of reality.","Brennan Manning, The Relentless Tenderness of Jesus","afterlife, catholic, catholicism, christian, christianity, death, hope, immortality, life, reality, salvation"
"WoyzeckYes, Captain, virtue! That I haven't figured out yet. I'm just a poor guy. The likes of us are wretched in this world and the next. If we ever got to heaven, we'd have to help make the thunder.","Georg Büchner, Woyzeck",virtue
15,For if you look closelyAt the so called idols of the worldThey have something in common.They were ignorantThey ignored the noiseThey created their own path.,"Priscilla Koranteng, Trails to the Stream: Poetry and Inspiration for Everyday Living"
"The historical background is one of the easier aspects of writing a novel. Far more difficult is dreaming up the smaller, character-based scenes, scenes that rise entirely from one's own imagination.",Ethan Canin,"Writing, Rise, Difficult "
I know my rightful place as a child of God,I am blessed and highly favoured.I am protected and delivered from every evil.I am redeem and set free from all bondages in Jesus Name.,"Lailah Gifty Akita, Think Great: Be Great!"
"When all help is stopped, when your loved ones started doubting your competence, when failure seems almost confirmed, but no matter what, if you make one more attempt, that final step will fetch you the victory.",Amit Kalantri,"ability, attempt, belief, believe-in-yourself, competence, confidence, determination, doubts, efforts, fail, failure, hard-work, help, human, humans, inspiration, inspirational, inspirational-quotes, loved-ones, motivation, motivational, motivational-quotes, persistance, persistence, philosophy, struggle, success, tenacity, victory, wisdom, wisdom-quotes"
"If workers are more insecure, that's very 'healthy' for the society, because if workers are insecure, they won't ask for wages, they won't go on strike, they won't call for benefits; they'll serve the masters gladly and passively. And that's optimal for corporations' economic health.",Noam Chomsky,"Society, Healthy, Economic "
"More fundamentally, I'm interested in memory because it's a filter through which we see our lives, and because it's foggy and obscure, the opportunities for self-deception are there. In the end, as a writer, I'm more interested in what people tell themselves happened rather than what actually happened.",Kazuo Ishiguro,"lying, memory, self-deception, self-talk"
"Taking into consideration all your lovelinesswhy can't you burn your bootsoles and yourdraft card? How can you sit there saying yesto war? You'll be a pauper when you die, soreboy. Dead, while I still live at our addresss.Oh my brother, why do you keep making planswhen I am at seizures of hearts and hands?Come dance the dance, the Papa-Mama dance;bring costumes from the suitcase pasted Ille de France, the S.S. Gripsholm. Papa's London Harness case he took abroad and kept i our attic laced with old leather straps for storage and hisscholar's robes, black licorice - that metamorphosiswith it's crimson blood. ""The Papa and Mama Dance","Anne Sexton, The Complete Poems","life, pacifism, sex, war"
When skies above were not yet namedNor earth below pronounced by nameThere was water...,"Carol K. Mack, A Field Guide to Demons, Fairies, Fallen Angels and Other Subversive Spirits",water
"By the grace of the Lady, whose face mirrors my own, may I ever remember I am made in her image, blessed and beautiful.","Dianne Sylvan, The Body Sacred","body, healing, spiritual"
...that icy glass reduces your beauty - dims your fire - let me be your mirror...,"John Geddes, A Familiar Rain","distortion, ice, mirror, reflection"
"In this world, all that which is on the outside, is also within! Faults that are seen on the outside [in other people] are the very faults that lie within [our own self]. The universe (Brahmand) that is on the outside is also within. When matters are settled with everyone on the outside, everything within will get settled. Thereafter none within will have complaints.",Dada Bhagwan,"spiritual, spiritual-quotes, universe, world"
"Can we make promises to each other, as if we were truly married? Can we swear to be true and faithful and love only each other and all those things? Because I'm in such pain, Margherita, I need to have you, I need to know that you're mine. I've been in torment since I first saw you. No, since I first heard you singing from you tower height. Please, mia bella bianca, please let us swear to each other. Love breaks all spells, I know it does. Wear my ring and let me know-""She stopped his words with her mouth, cupping both hands about his face. Then she sat back to show him the ring on her finger. ""I swear it all. Is that good enough? Because I really need you to kiss me again.","Kate Forsyth, Bitter Greens","kiss, love, marriage, promises"
"Fans believe they have a relationship with you, either through your TV character or, more reasonably, through the tweets you may have exchanged. In a way, you have gotten to know them. You learn about people's kids, families, pets.",Gina Bellman,"Character, Believe, People "
The one who cannot see your vision will be blinded by your mission.,Habeeb Akande,"determination, mission, single-mindedness, vision"
"And after that, and also for each word, there should be sentences that show the twists and turns of meanings—the way almost every word slips in its silvery, fishlike way, weaving this way and that, adding subtleties of nuance to itself, and then perhaps shedding them as public mood dictates.","Simon Winchester, The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary","lexicology, words"
"If you're worried that you won't know someone in a few years, you should start living in the present and enjoy the people who are around you now and when the time comes for both of you to part ways... remember that it was a privilege and honor to be part of their life's - even if it was for such a short time.",Tiffany Walker,"friends, life"
"I was brought up,' Freddy informed him, 'not to suffer anxiety about decisive initiative of all types.","Mark Helprin, Freddy and Fredericka","anxiety, decisions, initiative"
"To be a manager, one must be able to manage her own relationship with the people around her, as well as the relationships among her subordinates. Just being perfect in paperwork and operations does not make one a good manager.",Sophie L. Rose,"career, job, life, manager, office, relationship, work"
"I'd wasted so much time wishing I could be different, wishing I could change things, change myself...I thought it would be easier to be someone else than to be who I was becoming, but I didn't think that anymore","Michelle Hodkin, The Retribution of Mara Dyer","inspirational, mara-dyer, self-esteem"
"She hung up before he could say goodbye. Stood there with her arm cocked, phone at ear-level, suddenly aware of the iconic nature of her unconscious pose. Some very considerable part of the gestural language of public places, that had once belong to cigarettes, now belonged to phones.","William Gibson, Zero History","public, technology"
All time is all time. It does not change. It does not lend itself to warnings or explanations. It simply is.,Kurt Vonnegut,"Time, Itself, Does "
"There is no water in oxygen, no water in hydrogen: it comes bubbling fresh from the imagination of the living God, rushing from under the great white throne of the glacier. The very thought of it makes one gasp with an elemental joy no metaphysician can analyse. The water itself, that dances, and sings, and slakes the wonderful thirst--symbol and picture of that draught for which the woman of Samaria made her prayer to Jesus--this lovely thing itself, whose very wetness is a delight to every inch of the human body in its embrace--this live thing which, if I might, I would have running through my room, yea, babbling along my table--this water is its own self its own truth, and is therein a truth of God.",George MacDonald,water
